Time[s], MOSI, MISO, SCLK, CSC
6.224750125000000, 1, 1, 1, 0
6.224750374999999, 1, 1, 0, 0
6.224750625000000, 1, 1, 1, 0
6.224750875000000, 1, 1, 0, 0
6.224751125000000, 1, 1, 1, 0
6.224751250000000, 1, 1, 0, 0
6.224751500000000, 1, 1, 1, 0
6.224751749999999, 1, 1, 0, 0
6.224752000000000, 1, 1, 1, 0
6.224752124999999, 1, 1, 0, 0
6.224752375000000, 0, 1, 1, 0
6.224752625000000, 0, 1, 0, 0
6.224752875000000, 0, 1, 1, 0
6.224753124999999, 0, 1, 0, 0
6.224754375000000, 0, 1, 0, 1
6.224975750000000, 0, 1, 0, 0
6.224976375000000, 0, 1, 1, 0
6.224976625000000, 0, 1, 0, 0
6.224976874999999, 0, 1, 1, 0
6.224977125000000, 0, 1, 0, 0
6.224977249999999, 1, 1, 1, 0
6.224977500000000, 1, 1, 0, 0
6.224977750000000, 1, 1, 1, 0
6.224978000000000, 1, 1, 0, 0
6.224978249999999, 0, 1, 1, 0
6.224978375000000, 0, 1, 0, 0
6.224978624999999, 0, 1, 1, 0
6.224978875000000, 0, 1, 0, 0
6.224979125000000, 1, 1, 1, 0
6.224979250000000, 1, 1, 0, 0
6.224979500000000, 0, 1, 1, 0
6.224979750000000, 0, 1, 0, 0
6.224980875000000, 1, 1, 1, 0
6.224981124999999, 1, 1, 0, 0
6.224981375000000, 0, 1, 1, 0
6.224981499999999, 0, 1, 0, 0
6.224981750000000, 1, 1, 1, 0
6.224982000000000, 1, 1, 0, 0
6.224982250000000, 0, 1, 1, 0
6.224982499999999, 0, 1, 0, 0
6.224982625000000, 1, 1, 1, 0
6.224982874999999, 1, 1, 0, 0
6.224983125000000, 1, 1, 1, 0
6.224983375000000, 1, 1, 0, 0
6.224983500000000, 0, 1, 1, 0
6.224983750000000, 0, 1, 0, 0
6.224984000000000, 1, 1, 1, 0
6.224984249999999, 1, 1, 0, 0
6.224985250000000, 0, 1, 1, 0
6.224985500000000, 0, 1, 0, 0
6.224985750000000, 0, 1, 1, 0
6.224985999999999, 0, 1, 0, 0
6.224986125000000, 0, 1, 1, 0
