Time [s],MOSI,MISO,SCK,CS
1.806536583,1,0,1,0
1.806536708,0,0,0,0
1.806536833,0,0,1,0
1.806536917,1,0,0,0
1.806537042,1,0,1,0
1.806537167,0,1,0,0
1.806537250,0,1,1,0
1.806537375,1,1,0,0
1.806537500,1,1,1,0
1.806537583,0,1,0,0
1.806537708,0,1,1,0
1.806537833,1,1,0,0
1.806537917,1,1,1,0
1.806538042,1,0,0,0
1.806538583,0,0,0,0
1.806538750,0,0,1,0
1.806538875,0,0,0,0
1.806539000,0,0,1,0
1.806539083,1,0,0,0
1.806539208,1,0,1,0
1.806539333,1,0,0,0
1.806539417,1,0,1,0
1.806539542,1,1,0,0
1.806539667,1,1,1,0
1.806539750,1,1,0,0
1.806539875,1,1,1,0
1.806540000,1,1,0,0
1.806540083,1,1,1,0
1.806540208,1,1,0,0
1.806540333,1,1,1,0
1.806540417,0,1,0,0
1.806540458,0,0,0,0
1.806540958,1,0,0,0
1.806541167,1,0,1,0
1.806541250,0,0,0,0
1.806541375,0,0,1,0
1.806541500,1,0,0,0
1.806541583,1,0,1,0
1.806541708,1,0,0,0
1.806541833,1,0,1,0
1.806541917,0,0,0,0
1.806541958,0,1,0,0
1.806542042,0,1,1,0
1.806542167,1,1,0,0
1.806542250,1,1,1,0
1.806542375,0,1,0,0
1.806542500,0,1,1,0
1.806542583,1,1,0,0
1.806542708,1,1,1,0
1.806542833,1,0,0,0
1.806543333,0,0,0,0
1.806543542,0,0,1,0
1.806543667,0,0,0,0
1.806543750,0,0,1,0
1.806543875,0,0,0,0
1.806544000,0,0,1,0
1.806544083,0,0,0,0
1.806544208,0,0,1,0
1.806544333,0,1,0,0
1.806544417,0,1,1,0
1.806544542,0,1,0,0
1.806544667,0,1,1,0
1.806544750,0,1,0,0
1.806544875,0,1,1,0
1.806545000,0,1,0,0
1.806545083,0,1,1,0
1.806545208,0,0,0,0
1.806545917,0,0,1,0
1.806546042,1,0,0,0
1.806546167,1,0,1,0
1.806546250,1,0,0,0
1.806546375,1,0,1,0
1.806546500,0,0,0,0
1.806546583,0,0,1,0
1.806546708,0,1,0,0
1.806546833,0,1,1,0
1.806546917,0,1,0,0
1.806547042,0,1,1,0
1.806547167,1,1,0,0
1.806547250,1,1,1,0
1.806547375,0,1,0,0
1.806547500,0,1,1,0
1.806547583,0,1,0,0
1.806547625,0,0,0,0
1.806548125,1,0,0,0
1.806548333,1,0,1,0
1.806548417,1,0,0,0
1.806548542,1,0,1,0
1.806548667,0,0,0,0
1.806548750,0,0,1,0
1.806548875,0,0,0,0
1.806549000,0,0,1,0
1.806549083,0,0,0,0
1.806549125,0,1,0,0
1.806549208,0,1,1,0
1.806549333,1,1,0,0
1.806549417,1,1,1,0
1.806549542,1,1,0,0
1.806549667,1,1,1,0
1.806549750,0,1,0,0
1.806549875,0,1,1,0
1.806550000,1,0,0,0
1.806551000,1,0,0,1
1.806551875,1,0,0,0
1.806552250,0,0,0,0
1.806552417,0,0,1,0
1.806552542,0,0,0,0
1.806552667,0,0,1,0
1.806552750,1,0,0,0
1.806552875,1,0,1,0
1.806553000,1,0,0,0
1.806553083,1,0,1,0
1.806553208,0,1,0,0
1.806553333,0,1,1,0
1.806553417,1,1,0,0
1.806553542,1,1,1,0
1.806553667,0,1,0,0
1.806553750,0,1,1,0
1.806553875,1,1,0,0
1.806554000,1,1,1,0
1.806554083,0,1,0,0
1.806554125,0,0,0,0
1.806554958,0,0,0,1
1.806556667,0,1,0,1
1.808793292,0,0,0,0
1.808793833,0,0,1,0
1.808793958,0,0,0,0
1.808794042,0,0,1,0
1.808794167,1,0,0,0
1.808794292,1,0,1,0
1.808794375,1,0,0,0
1.808794500,1,0,1,0
1.808794625,0,1,0,0
1.808794708,0,1,1,0
1.808794833,1,1,0,0
1.808794958,1,1,1,0
1.808795042,1,1,0,0
1.808795167,1,1,1,0
1.808795292,0,1,0,0
1.808795375,0,1,1,0
1.808795500,0,0,0,0
1.808796375,0,0,0,1
1.808797292,0,0,0,0
1.808797792,0,0,1,0
1.808797917,0,0,0,0
1.808798042,0,0,1,0
1.808798125,0,0,0,0
1.808798250,0,0,1,0
1.808798375,0,0,0,0
1.808798458,0,0,1,0
1.808798583,1,1,0,0
1.808798708,1,1,1,0
1.808798792,0,1,0,0
1.808798917,0,1,1,0
1.808799042,1,1,0,0
1.808799125,1,1,1,0
1.808799250,0,1,0,0
1.808799375,0,1,1,0
1.808799458,0,1,0,0
1.808799500,0,0,0,0
1.808800083,0,0,1,0
1.808800208,0,0,0,0
1.808800292,0,0,1,0
1.808800417,0,0,0,0
1.808800542,0,0,1,0
1.808800625,0,0,0,0
1.808800750,0,0,1,0
1.808800875,0,1,0,0
1.808800958,0,1,1,0
1.808801083,1,1,0,0
1.808801208,1,1,1,0
1.808801292,1,1,0,0
1.808801417,1,1,1,0
1.808801542,0,1,0,0
1.808801625,0,1,1,0
1.808801750,0,0,0,0
1.808802625,0,0,0,1
1.808803667,0,0,0,0
1.808804208,0,0,1,0
1.808804292,0,0,0,0
1.808804417,0,0,1,0
1.808804542,1,0,0,0
1.808804625,1,0,1,0
1.808804750,0,0,0,0
1.808804875,0,0,1,0
1.808804958,0,0,0,0
1.808805000,0,1,0,0
1.808805083,0,1,1,0
1.808805208,1,1,0,0
1.808805292,1,1,1,0
1.808805417,0,1,0,0
1.808805542,0,1,1,0
1.808805625,0,1,0,0
1.808805667,1,1,0,0
1.808805750,1,1,1,0
1.808805875,0,0,0,0
1.808806458,0,0,1,0
1.808806583,0,0,0,0
1.808806708,0,0,1,0
1.808806792,0,0,0,0
1.808806917,0,0,1,0
1.808807042,1,0,0,0
1.808807125,1,0,1,0
1.808807250,1,1,0,0
1.808807375,1,1,1,0
1.808807458,0,1,0,0
1.808807583,0,1,1,0
1.808807708,0,1,0,0
1.808807792,0,1,1,0
1.808807917,0,1,0,0
1.808808042,0,1,1,0
1.808808125,0,1,0,0
1.808808167,0,0,0,0
1.808809042,0,0,0,1
1.808809917,0,0,0,0
1.808810458,0,0,1,0
1.808810542,0,0,0,0
1.808810667,0,0,1,0
1.808810792,1,0,0,0
1.808810917,1,0,1,0
1.808811000,1,0,0,0
